id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kode_bulan,nama_bulan,rata_rata_harga_produsen,satuan,tahun
181,32,JAWA BARAT,3216,KABUPATEN BEKASI,1,JANUARI,0,RUPIAH/KILOGRAM,2021
182,32,JAWA BARAT,3216,KABUPATEN BEKASI,2,FEBRUARI,0,RUPIAH/KILOGRAM,2021
183,32,JAWA BARAT,3216,KABUPATEN BEKASI,3,MARET,0,RUPIAH/KILOGRAM,2021
184,32,JAWA BARAT,3216,KABUPATEN BEKASI,4,APRIL,0,RUPIAH/KILOGRAM,2021
185,32,JAWA BARAT,3216,KABUPATEN BEKASI,5,MEI,0,RUPIAH/KILOGRAM,2021
186,32,JAWA BARAT,3216,KABUPATEN BEKASI,6,JUNI,0,RUPIAH/KILOGRAM,2021
187,32,JAWA BARAT,3216,KABUPATEN BEKASI,7,JULI,0,RUPIAH/KILOGRAM,2021
188,32,JAWA BARAT,3216,KABUPATEN BEKASI,8,AGUSTUS,0,RUPIAH/KILOGRAM,2021
189,32,JAWA BARAT,3216,KABUPATEN BEKASI,9,SEPTEMBER,0,RUPIAH/KILOGRAM,2021
190,32,JAWA BARAT,3216,KABUPATEN BEKASI,10,OKTOBER,0,RUPIAH/KILOGRAM,2021
191,32,JAWA BARAT,3216,KABUPATEN BEKASI,11,NOVEMBER,0,RUPIAH/KILOGRAM,2021
192,32,JAWA BARAT,3216,KABUPATEN BEKASI,12,DESEMBER,0,RUPIAH/KILOGRAM,2021
193,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1,JANUARI,18000,RUPIAH/KILOGRAM,2021
194,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,2,FEBRUARI,18000,RUPIAH/KILOGRAM,2021
195,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,3,MARET,18000,RUPIAH/KILOGRAM,2021
196,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,4,APRIL,18000,RUPIAH/KILOGRAM,2021
197,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,5,MEI,18000,RUPIAH/KILOGRAM,2021
198,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,6,JUNI,18000,RUPIAH/KILOGRAM,2021
199,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,7,JULI,16129,RUPIAH/KILOGRAM,2021
200,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,8,AGUSTUS,16000,RUPIAH/KILOGRAM,2021
201,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,9,SEPTEMBER,17600,RUPIAH/KILOGRAM,2021
202,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,10,OKTOBER,27194,RUPIAH/KILOGRAM,2021
203,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,11,NOVEMBER,26000,RUPIAH/KILOGRAM,2021
204,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,12,DESEMBER,20161,RUPIAH/KILOGRAM,2021
205,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,1,JANUARI,18500,RUPIAH/KILOGRAM,2021
206,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,2,FEBRUARI,18500,RUPIAH/KILOGRAM,2021
207,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,3,MARET,18500,RUPIAH/KILOGRAM,2021
208,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,4,APRIL,18500,RUPIAH/KILOGRAM,2021
209,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,5,MEI,17500,RUPIAH/KILOGRAM,2021
